Ano;Posição;Seleção;NumJogos;Vitórias;Empates;Derrotas;Gols Pro;Gols Contra;Saldo Gols;Pontos
1930;1;Uruguai;4;4;0;0;15;3;12;12
1930;2;Argentina;5;4;0;1;18;9;9;12
1930;3;Estados Unidos;3;2;0;1;7;6;1;6
1930;4;Iugoslávia;3;2;0;1;7;7;0;6
1930;5;Chile;3;2;0;1;5;3;2;6
1930;6;Brasil;2;1;0;1;5;2;3;3
1930;7;França;3;1;0;2;4;3;1;3
1930;8;Romênia;2;1;0;1;3;5;-2;3
1930;9;Paraguai;2;1;0;1;1;3;-2;3
1930;10;Peru;2;0;0;2;1;4;-3;0
1930;11;Bélgica;2;0;0;2;0;4;-4;0
1930;12;Bolívia;2;0;0;2;0;8;-8;0
1930;13;México;3;0;0;3;4;13;-9;0
1934;1;Itália;5;4;1;0;12;3;9;13
1934;2;Checoslováquia;4;3;0;1;9;6;3;9
1934;3;Alemanha;4;3;0;1;11;8;3;9
1934;4;Áustria;4;2;0;2;7;7;0;6
1934;5;Espanha;2;1;1;0;4;2;2;4
1934;6;Hungria;2;1;0;1;5;4;1;3
1934;7;Suíça;2;1;0;1;5;5;0;3
1934;8;Suécia;2;1;0;1;4;4;0;3
1934;9;Argentina;1;0;0;1;2;3;-1;0
1934;9;França;1;0;0;1;2;3;-1;0
1934;9;Holanda;1;0;0;1;2;3;-1;0
1934;12;Romênia;1;0;0;1;1;2;-1;0
1934;13;Egito;1;0;0;1;2;4;-2;0
1934;14;Brasil;1;0;0;1;1;3;-2;0
1934;15;Bélgica;1;0;0;1;2;5;-3;0
1934;16;Estados Unidos;1;0;0;1;1;7;-6;0
1938;1;Itália;4;4;0;0;11;5;6;12
1938;2;Hungria;4;3;0;1;15;5;10;9
1938;3;Brasil;5;3;1;1;14;11;3;10
1938;4;Suécia;3;1;0;2;11;9;2;3
1938;5;Checoslováquia;3;1;1;1;5;3;2;4
1938;6;Suíça;3;1;1;1;5;5;0;4
1938;7;Cuba;3;1;1;1;5;12;-7;4
1938;8;França;2;1;0;1;4;4;0;3
1938;9;Romênia;2;0;1;1;4;5;-1;1
1938;10;Alemanha;2;0;1;1;3;5;-2;1
1938;11;Polônia;1;0;0;1;5;6;-1;0
1938;12;Noruega;1;0;0;1;1;2;-1;0
1938;13;Bélgica;1;0;0;1;1;3;-2;0
1938;14;Holanda;1;0;0;1;0;3;-3;0
1938;15;Índias Orientais holandesas;1;0;0;1;0;6;-6;0
1950;1;Uruguai;4;3;1;0;15;5;10;10
1950;2;Brasil;6;4;1;1;22;6;16;13
1950;3;Suécia;5;2;1;2;11;15;-4;7
1950;4;Espanha;6;3;1;2;10;12;-2;10
1950;5;Iugoslávia;3;2;0;1;7;3;4;6
1950;6;Suíça;3;1;1;1;4;6;-2;4
1950;7;Itália;2;1;0;1;4;3;1;3
1950;8;Inglaterra;3;1;0;2;2;2;0;3
1950;9;Chile;3;1;0;2;5;6;-1;3
1950;10;Estados Unidos;3;1;0;2;4;8;-4;3
1950;11;Paraguai;2;0;1;1;2;4;-2;1
1950;12;México;3;0;0;3;2;10;-8;0
1950;13;Bolívia;1;0;0;1;0;8;-8;0
1954;1;Alemanha;6;5;0;1;25;14;11;15
1954;2;Hungria;5;4;0;1;27;10;17;12
1954;3;Áustria;5;4;0;1;17;12;5;12
1954;4;Uruguai;5;3;0;2;16;9;7;9
1954;5;Suíça;4;2;0;2;11;11;0;6
1954;6;Brasil;3;1;1;1;8;5;3;4
1954;7;Inglaterra;3;1;1;1;8;8;0;4
1954;8;Iugoslávia;3;1;1;1;2;3;-1;4
1954;9;Peru;3;1;0;2;10;11;-1;3
1954;10;Itália;3;1;0;2;6;7;-1;3
1954;11;França;2;1;0;1;3;3;0;3
1954;12;Bélgica;2;0;1;1;5;8;-3;1
1954;13;México;2;0;0;2;2;8;-6;0
1954;14;Checoslováquia;2;0;0;2;0;7;-7;0
1954;15;Escócia;2;0;0;2;0;8;-8;0
1954;16;Coreia do Sul;2;0;0;2;0;16;-16;0
1958;1;Brasil;6;5;1;0;16;4;12;16
1958;2;Suécia;6;4;1;1;12;7;5;13
1958;3;França;6;4;0;2;23;15;8;12
1958;4;Alemanha;6;2;2;2;12;14;-2;8
1958;5;Gales;5;1;3;1;4;4;0;6
1958;6;União Soviética;5;2;1;2;5;6;-1;7
1958;7;Irlanda do Norte;5;2;1;2;6;10;-4;7
1958;8;Iugoslávia;4;1;2;1;7;7;0;5
1958;9;Checoslováquia;4;1;1;2;9;6;3;4
1958;10;Hungria;4;1;1;2;7;5;2;4
1958;11;Inglaterra;4;0;3;1;4;5;-1;3
1958;12;Paraguai;3;1;1;1;9;12;-3;4
1958;13;Argentina;3;1;0;2;5;10;-5;3
1958;14;Escócia;3;0;1;2;4;6;-2;1
1958;15;Áustria;3;0;1;2;2;7;-5;1
1958;16;México;3;0;1;2;1;8;-7;1
1962;1;Brasil;6;5;1;0;14;5;9;16
1962;2;Checoslováquia;6;3;1;2;7;7;0;10
1962;3;Chile;6;4;0;2;10;8;2;12
1962;4;Iugoslávia;6;3;0;3;10;7;3;9
1962;5;Hungria;4;2;1;1;8;3;5;7
1962;6;União Soviética;4;2;1;1;9;7;2;7
1962;7;Alemanha;4;2;1;1;4;2;2;7
1962;8;Inglaterra;4;1;1;2;5;6;-1;4
1962;9;Itália;3;1;1;1;3;2;1;4
1962;10;Argentina;3;1;1;1;2;3;-1;4
1962;11;México;3;1;0;2;3;4;-1;3
1962;12;Espanha;3;1;0;2;2;3;-1;3
1962;13;Uruguai;3;1;0;2;4;6;-2;3
1962;14;Colômbia;3;0;1;2;5;11;-6;1
1962;15;Bulgária;3;0;1;2;1;7;-6;1
1962;16;Suíça;3;0;0;3;2;8;-6;0
1966;1;Inglaterra;6;5;1;0;11;3;8;16
1966;2;Alemanha;6;4;1;1;15;6;9;13
1966;3;Portugal;6;5;0;1;17;8;9;15
1966;4;União Soviética;6;4;0;2;10;6;4;12
1966;5;Argentina;4;2;1;1;4;2;2;7
1966;6;Hungria;4;2;0;2;8;7;1;6
1966;7;Uruguai;4;1;2;1;2;5;-3;5
1966;8;Coréia do Norte;4;1;1;2;5;9;-4;4
1966;9;Itália;3;1;0;2;2;2;0;3
1966;10;Espanha;3;1;0;2;4;5;-1;3
1966;11;Brasil;3;1;0;2;4;6;-2;3
1966;12;México;3;0;2;1;1;3;-2;2
1966;13;Chile;3;0;1;2;2;5;-3;1
1966;13;França;3;0;1;2;2;5;-3;1
1966;15;Bulgária;3;0;0;3;1;8;-7;0
1966;16;Suíça;3;0;0;3;1;9;-8;0
1970;1;Brasil;6;6;0;0;19;7;12;18
1970;2;Itália;6;3;2;1;10;8;2;11
1970;3;Alemanha;6;5;0;1;17;10;7;15
1970;4;Uruguai;6;2;1;3;4;5;-1;7
1970;5;União Soviética;4;2;1;1;6;2;4;7
1970;6;México;4;2;1;1;6;4;2;7
1970;7;Peru;4;2;0;2;9;9;0;6
1970;8;Inglaterra;4;2;0;2;4;4;0;6
1970;9;Suécia;3;1;1;1;2;2;0;4
1970;10;Bélgica;3;1;0;2;4;5;-1;3
1970;10;Romênia;3;1;0;2;4;5;-1;3
1970;12;Israel;3;0;2;1;1;3;-2;2
1970;13;Bulgária;3;0;1;2;5;9;-4;1
1970;14;Marrocos;3;0;1;2;2;6;-4;1
1970;15;Checoslováquia;3;0;0;3;2;7;-5;0
1970;16;El Salvador;3;0;0;3;0;9;-9;0
1974;1;Alemanha;7;6;0;1;13;4;9;18
1974;2;Holanda;7;5;1;1;15;3;12;16
1974;3;Polônia;7;6;0;1;16;5;11;18
1974;4;Brasil;7;3;2;2;6;4;2;11
1974;5;Suécia;6;2;2;2;7;6;1;8
1974;6;Alemanha Oriental;6;2;2;2;5;5;0;8
1974;7;Iugoslávia;6;1;2;3;12;7;5;5
1974;8;Argentina;6;1;2;3;9;12;-3;5
1974;9;Escócia;3;1;2;0;3;1;2;5
1974;10;Itália;3;1;1;1;5;4;1;4
1974;11;Chile;3;0;2;1;1;2;-1;2
1974;12;Bulgária;3;0;2;1;2;5;-3;2
1974;13;Uruguai;3;0;1;2;1;6;-5;1
1974;14;Austrália;3;0;1;2;0;5;-5;1
1974;15;Haiti;3;0;0;3;2;14;-12;0
1974;16;Zaire;3;0;0;3;0;14;-14;0
1978;1;Argentina;7;5;1;1;15;4;11;16
1978;2;Holanda;7;3;2;2;15;10;5;11
1978;3;Brasil;7;4;3;0;10;3;7;15
1978;4;Itália;7;4;1;2;9;6;3;13
1978;5;Polônia;6;3;1;2;6;6;0;10
1978;6;Alemanha;6;1;4;1;10;5;5;7
1978;7;Áustria;6;3;0;3;7;10;-3;9
1978;8;Peru;6;2;1;3;7;12;-5;7
1978;9;Tunísia;3;1;1;1;3;2;1;4
1978;10;Espanha;3;1;1;1;2;2;0;4
1978;11;Escócia;3;1;1;1;5;6;-1;4
1978;12;França;3;1;0;2;5;5;0;3
1978;13;Suécia;3;0;1;2;1;3;-2;1
1978;14;Irã;3;0;1;2;2;8;-6;1
1978;15;Hungria;3;0;0;3;3;8;-5;0
1978;16;México;3;0;0;3;2;12;-10;0
1982;1;Itália;7;4;3;0;12;6;6;15
1982;2;Alemanha;7;3;2;2;12;10;2;11
1982;3;Polônia;7;3;3;1;11;5;6;12
1982;4;França;7;3;2;2;16;12;4;11
1982;5;Brasil;5;4;0;1;15;6;9;12
1982;6;Inglaterra;5;3;2;0;6;1;5;11
1982;7;União Soviética;5;2;2;1;7;4;3;8
1982;8;Áustria;5;2;1;2;5;4;1;7
1982;9;Irlanda do Norte;5;1;3;1;5;7;-2;6
1982;10;Bélgica;5;2;1;2;3;5;-2;7
1982;11;Argentina;5;2;0;3;8;7;1;6
1982;12;Espanha;5;1;2;2;4;5;-1;5
1982;13;Argélia;3;2;0;1;5;5;0;6
1982;14;Hungria;3;1;1;1;12;6;6;4
1982;15;Escócia;3;1;1;1;8;8;0;4
1982;16;Iugoslávia;3;1;1;1;2;2;0;4
1982;17;Camarões;3;0;3;0;1;1;0;3
1982;18;Honduras;3;0;2;1;2;3;-1;2
1982;19;Checoslováquia;3;0;2;1;2;4;-2;2
1982;20;Peru;3;0;2;1;2;6;-4;2
1982;21;Kuwait;3;0;1;2;2;6;-4;1
1982;22;Chile;3;0;0;3;3;8;-5;0
