Ano;Vencedor;Vice;Estádio;Local;Público
1930;Uruguai;Argentina;Estadio Centenario;Montevidéu, Uruguai;68.346 
1934;Itália;Tchecoslováquia;Stadio Nazionale PNF;Roma, Itália;55.000 
1938;Itália;Hungria;Stade Olympique Yves-du-Manoir;Paris, França;45.000 
1950;Uruguai;Brasil;Maracanã;Rio de Janeiro, Brasil;173.850 
1954;Alemanha Ocidental;Hungria;Wankdorfstadion;Berna, Suíça;62.500 
1958;Brasil;Suécia;Råsunda;Solna, Suécia;49.737 
1962;Brasil;Tchecoslováquia;Estádio Nacional;Santiago, Chile;68.679 
1966;Inglaterra;Alemanha Ocidental;Wembley Stadium;Londres, Inglaterra;96.924 
1970;Brasil;Itália;Estadio Azteca;Cidade do México, México;107.412 
1974;Alemanha Ocidental;Países Baixos;Olympiastadion;Munique, Alemanha Ocidental;78.200 
1978;Argentina;Países Baixos;Estádio Monumental;Buenos Aires, Argentina;71.483 
1982;Itália;Alemanha Ocidental;Santiago Bernabéu;Madrid, Espanha;90.000 
1986;Argentina;Alemanha Ocidental;Estadio Azteca;Cidade do México, México;114.600 
1990;Alemanha Ocidental;Argentina;Stadio Olimpico;Roma, Itália;73.603 
1994;Brasil;Itália;Rose Bowl;Pasadena, Estados Unidos;94.194 
1998;França;Brasil;Stade de France;Saint-Denis, França;80.000 
2002;Brasil;Alemanha;Yokohama Kokusai S?g? Ky?gi-j?;Yokohama, Japão;69.029 
2006;Itália;França;Olympiastadion;Berlim, Alemanha;69.000 
2010;Espanha;Países Baixos;Soccer City;Johannesburgo, África do Sul;84.490 
2014;Alemanha;Argentina;Maracanã;Rio de Janeiro, Brasil;74.738 
2018;França;Croácia;Lujniki;Moscou, Rússia;78.011 
