Nº;Time 1;Placar;Time 2;Estádio;Data;Ano
1;Hungria;10–1;El Salvador;Nuevo Estadio, Elche;15/06/2022;1982
2;Hungria;9–0;Coreia do Sul;Hardturm, Zurique;17/06/2022;1954
2;Iugoslávia;9–0;Zaire;Parkstadion, Gelsenkirchen;18/06/2022;1974
4;Suécia;8–0;Cuba;Stade du Fort Carré, Antibes;12/06/2022;1938
4;Uruguai;8–0;Bolívia;Independência, Belo Horizonte;02/07/2022;1950
4;Alemanha;8–0;Arábia Saudita;Sapporo Dome, Sapporo;01/06/2022;2002
7;Uruguai;7–0;Escócia;St. Jakob Stadium, Basileia;19/06/2022;1954
7;Turquia;7–0;Coreia do Sul;Charmilles Stadium, Genebra;20/06/2022;1954
7;Haiti;0–7;Polônia;Olympiastadion, Munique;19/06/2022;1974
7;Portugal;7–0;Coreia do Norte;Cape Town Stadium, Cidade do Cabo;21/06/2022;2010
