País;URL
Brasil;https://www.countries-ofthe-world.com/flags-normal/flag-of-Brazil.png
Alemanha;https://www.countries-ofthe-world.com/flags-normal/flag-of-Germany.png
Itália;https://www.countries-ofthe-world.com/flags-normal/flag-of-Italy.png
Argentina;https://www.countries-ofthe-world.com/flags-normal/flag-of-Argentina.png
França;https://www.countries-ofthe-world.com/flags-normal/flag-of-France.png
Uruguai;https://www.countries-ofthe-world.com/flags-normal/flag-of-Uruguay.png
Inglaterra;https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_England.svg/320px-Flag_of_England.svg.png
Espanha;https://www.countries-ofthe-world.com/flags-normal/flag-of-Spain.png
Holanda;https://www.countries-ofthe-world.com/flags-normal/flag-of-Netherlands.png
Hungria;https://www.countries-ofthe-world.com/flags-normal/flag-of-Hungary.png
República Checa;https://www.countries-ofthe-world.com/flags-normal/flag-of-Czech-Republic.png
Suécia;https://www.countries-ofthe-world.com/flags-normal/flag-of-Sweden.png
Croácia;https://www.countries-ofthe-world.com/flags-normal/flag-of-Croatia.png
Polônia;https://www.countries-ofthe-world.com/flags-normal/flag-of-Poland.png
Áustria;https://www.countries-ofthe-world.com/flags-normal/flag-of-Austria.png
Portugal;https://www.countries-ofthe-world.com/flags-normal/flag-of-Portugal.png
Bélgica;https://www.countries-ofthe-world.com/flags-normal/flag-of-Belgium.png
Estados Unidos;https://www.countries-ofthe-world.com/flags-normal/flag-of-United-States-of-America.png
Chile;https://www.countries-ofthe-world.com/flags-normal/flag-of-Chile.png
Turquia;https://www.countries-ofthe-world.com/flags-normal/flag-of-Turkey.png
Sérvia;https://www.countries-ofthe-world.com/flags-normal/flag-of-Serbia.png
Rússia;https://www.countries-ofthe-world.com/flags-normal/flag-of-Russia.png
Bulgária;https://www.countries-ofthe-world.com/flags-normal/flag-of-Bulgaria.png
Coreia do Sul;https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea-South.png
África do Sul;https://www.countries-ofthe-world.com/flags-normal/flag-of-South-Africa.png
Suíça;https://www.countries-ofthe-world.com/flags-normal/flag-of-Switzerland.png
México;https://www.countries-ofthe-world.com/flags-normal/flag-of-Mexico.png
Japão;https://www.countries-ofthe-world.com/flags-normal/flag-of-Japan.png
Iugoslávia;https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Flag_of_Yugoslavia_%281946-1992%29.svg/320px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
Haiti;https://www.countries-ofthe-world.com/flags-normal/flag-of-Haiti.png
Arábia Saudita;https://www.countries-ofthe-world.com/flags-normal/flag-of-Saudi-Arabia.png
Coreia do Norte;https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea-North.png
Escócia;https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/320px-Flag_of_Scotland.svg.png
;
